Trial #,Catch Time,Throw Time,Caught,Thrown,Hit Target
1,2.693507,1.396943,True,True,True
2,2.535227,1.049575,True,True,True
3,2.647566,1.217054,True,True,True
4,2.85931,1.26216,True,True,True
5,2.635507,0.9726496,True,True,True
6,2.680192,1.061534,True,True,True
7,2.64743,1.127407,True,True,True
8,2.701585,1.45289,True,True,True
9,2.780149,1.118145,True,True,True
10,2.434809,0.8378592,True,True,True
